"Registered Political Party - English","Registered Political Party - French","Abbreviation - English","Abbreviation - French","Registration Date","President","Leader","Address","Phone","Fax","Email","Web Address","Association Electoral District",
"New Blue Party of Ontario","Nouveau parti bleu de l'Ontario","New Blue Party","Nouveau parti bleu","January 07, 2021","Belinda Karahalios","Jim Karahalios","PO Box 28009, Cambridge RPO Preston ON N3H 5N4","(416) 789-1555","","info@newblueontario.com","http://www.newblueontario.com","048 - Kitchener—Conestoga",
"New Blue Party of Ontario","Nouveau parti bleu de l'Ontario","New Blue Party","Nouveau parti bleu","January 07, 2021","Belinda Karahalios","Jim Karahalios","PO Box 28009, Cambridge RPO Preston ON N3H 5N4","(416) 789-1555","","info@newblueontario.com","http://www.newblueontario.com","049 - Kitchener South—Hespeler",
"New Blue Party of Ontario","Nouveau parti bleu de l'Ontario","New Blue Party","Nouveau parti bleu","January 07, 2021","Belinda Karahalios","Jim Karahalios","PO Box 28009, Cambridge RPO Preston ON N3H 5N4","(416) 789-1555","","info@newblueontario.com","http://www.newblueontario.com","050 - Lambton—Kent—Middlesex",
"New Blue Party of Ontario","Nouveau parti bleu de l'Ontario","New Blue Party","Nouveau parti bleu","January 07, 2021","Belinda Karahalios","Jim Karahalios","PO Box 28009, Cambridge RPO Preston ON N3H 5N4","(416) 789-1555","","info@newblueontario.com","http://www.newblueontario.com","051 - Lanark—Frontenac—Kingston",
"New Blue Party of Ontario","Nouveau parti bleu de l'Ontario","New Blue Party","Nouveau parti bleu","January 07, 2021","Belinda Karahalios","Jim Karahalios","PO Box 28009, Cambridge RPO Preston ON N3H 5N4","(416) 789-1555","","info@newblueontario.com","http://www.newblueontario.com","052 - Leeds—Grenville—Thousand Islands and Rideau Lakes",
"New Blue Party of Ontario","Nouveau parti bleu de l'Ontario","New Blue Party","Nouveau parti bleu","January 07, 2021","Belinda Karahalios","Jim Karahalios","PO Box 28009, Cambridge RPO Preston ON N3H 5N4","(416) 789-1555","","info@newblueontario.com","http://www.newblueontario.com","053 - London—Fanshawe",
"New Blue Party of Ontario","Nouveau parti bleu de l'Ontario","New Blue Party","Nouveau parti bleu","January 07, 2021","Belinda Karahalios","Jim Karahalios","PO Box 28009, Cambridge RPO Preston ON N3H 5N4","(416) 789-1555","","info@newblueontario.com","http://www.newblueontario.com","054 - London North Centre",
"New Blue Party of Ontario","Nouveau parti bleu de l'Ontario","New Blue Party","Nouveau parti bleu","January 07, 2021","Belinda Karahalios","Jim Karahalios","PO Box 28009, Cambridge RPO Preston ON N3H 5N4","(416) 789-1555","","info@newblueontario.com","http://www.newblueontario.com","055 - London West",
"New Blue Party of Ontario","Nouveau parti bleu de l'Ontario","New Blue Party","Nouveau parti bleu","January 07, 2021","Belinda Karahalios","Jim Karahalios","PO Box 28009, Cambridge RPO Preston ON N3H 5N4","(416) 789-1555","","info@newblueontario.com","http://www.newblueontario.com","056 - Markham—Stouffville",
"New Blue Party of Ontario","Nouveau parti bleu de l'Ontario","New Blue Party","Nouveau parti bleu","January 07, 2021","Belinda Karahalios","Jim Karahalios","PO Box 28009, Cambridge RPO Preston ON N3H 5N4","(416) 789-1555","","info@newblueontario.com","http://www.newblueontario.com","057 - Markham—Thornhill",
"New Blue Party of Ontario","Nouveau parti bleu de l'Ontario","New Blue Party","Nouveau parti bleu","January 07, 2021","Belinda Karahalios","Jim Karahalios","PO Box 28009, Cambridge RPO Preston ON N3H 5N4","(416) 789-1555","","info@newblueontario.com","http://www.newblueontario.com","058 - Markham—Unionville",
"New Blue Party of Ontario","Nouveau parti bleu de l'Ontario","New Blue Party","Nouveau parti bleu","January 07, 2021","Belinda Karahalios","Jim Karahalios","PO Box 28009, Cambridge RPO Preston ON N3H 5N4","(416) 789-1555","","info@newblueontario.com","http://www.newblueontario.com","059 - Milton",
"New Blue Party of Ontario","Nouveau parti bleu de l'Ontario","New Blue Party","Nouveau parti bleu","January 07, 2021","Belinda Karahalios","Jim Karahalios","PO Box 28009, Cambridge RPO Preston ON N3H 5N4","(416) 789-1555","","info@newblueontario.com","http://www.newblueontario.com","060 - Mississauga Centre",
"New Blue Party of Ontario","Nouveau parti bleu de l'Ontario","New Blue Party","Nouveau parti bleu","January 07, 2021","Belinda Karahalios","Jim Karahalios","PO Box 28009, Cambridge RPO Preston ON N3H 5N4","(416) 789-1555","","info@newblueontario.com","http://www.newblueontario.com","061 - Mississauga East—Cooksville",
"New Blue Party of Ontario","Nouveau parti bleu de l'Ontario","New Blue Party","Nouveau parti bleu","January 07, 2021","Belinda Karahalios","Jim Karahalios","PO Box 28009, Cambridge RPO Preston ON N3H 5N4","(416) 789-1555","","info@newblueontario.com","http://www.newblueontario.com","062 - Mississauga—Erin Mills",
"New Blue Party of Ontario","Nouveau parti bleu de l'Ontario","New Blue Party","Nouveau parti bleu","January 07, 2021","Belinda Karahalios","Jim Karahalios","PO Box 28009, Cambridge RPO Preston ON N3H 5N4","(416) 789-1555","","info@newblueontario.com","http://www.newblueontario.com","063 - Mississauga—Lakeshore",
"New Blue Party of Ontario","Nouveau parti bleu de l'Ontario","New Blue Party","Nouveau parti bleu","January 07, 2021","Belinda Karahalios","Jim Karahalios","PO Box 28009, Cambridge RPO Preston ON N3H 5N4","(416) 789-1555","","info@newblueontario.com","http://www.newblueontario.com","064 - Mississauga—Malton",
"New Blue Party of Ontario","Nouveau parti bleu de l'Ontario","New Blue Party","Nouveau parti bleu","January 07, 2021","Belinda Karahalios","Jim Karahalios","PO Box 28009, Cambridge RPO Preston ON N3H 5N4","(416) 789-1555","","info@newblueontario.com","http://www.newblueontario.com","065 - Mississauga—Streetsville",
"New Blue Party of Ontario","Nouveau parti bleu de l'Ontario","New Blue Party","Nouveau parti bleu","January 07, 2021","Belinda Karahalios","Jim Karahalios","PO Box 28009, Cambridge RPO Preston ON N3H 5N4","(416) 789-1555","","info@newblueontario.com","http://www.newblueontario.com","066 - Nepean",
"New Blue Party of Ontario","Nouveau parti bleu de l'Ontario","New Blue Party","Nouveau parti bleu","January 07, 2021","Belinda Karahalios","Jim Karahalios","PO Box 28009, Cambridge RPO Preston ON N3H 5N4","(416) 789-1555","","info@newblueontario.com","http://www.newblueontario.com","067 - Newmarket—Aurora",
"New Blue Party of Ontario","Nouveau parti bleu de l'Ontario","New Blue Party","Nouveau parti bleu","January 07, 2021","Belinda Karahalios","Jim Karahalios","PO Box 28009, Cambridge RPO Preston ON N3H 5N4","(416) 789-1555","","info@newblueontario.com","http://www.newblueontario.com","068 - Niagara Centre",
"New Blue Party of Ontario","Nouveau parti bleu de l'Ontario","New Blue Party","Nouveau parti bleu","January 07, 2021","Belinda Karahalios","Jim Karahalios","PO Box 28009, Cambridge RPO Preston ON N3H 5N4","(416) 789-1555","","info@newblueontario.com","http://www.newblueontario.com","069 - Niagara Falls",
"New Blue Party of Ontario","Nouveau parti bleu de l'Ontario","New Blue Party","Nouveau parti bleu","January 07, 2021","Belinda Karahalios","Jim Karahalios","PO Box 28009, Cambridge RPO Preston ON N3H 5N4","(416) 789-1555","","info@newblueontario.com","http://www.newblueontario.com","070 - Niagara West",
"New Blue Party of Ontario","Nouveau parti bleu de l'Ontario","New Blue Party","Nouveau parti bleu","January 07, 2021","Belinda Karahalios","Jim Karahalios","PO Box 28009, Cambridge RPO Preston ON N3H 5N4","(416) 789-1555","","info@newblueontario.com","http://www.newblueontario.com","071 - Nickel Belt",
"New Blue Party of Ontario","Nouveau parti bleu de l'Ontario","New Blue Party","Nouveau parti bleu","January 07, 2021","Belinda Karahalios","Jim Karahalios","PO Box 28009, Cambridge RPO Preston ON N3H 5N4","(416) 789-1555","","info@newblueontario.com","http://www.newblueontario.com","072 - Nipissing",
"New Blue Party of Ontario","Nouveau parti bleu de l'Ontario","New Blue Party","Nouveau parti bleu","January 07, 2021","Belinda Karahalios","Jim Karahalios","PO Box 28009, Cambridge RPO Preston ON N3H 5N4","(416) 789-1555","","info@newblueontario.com","http://www.newblueontario.com","073 - Northumberland—Peterborough South",
"New Blue Party of Ontario","Nouveau parti bleu de l'Ontario","New Blue Party","Nouveau parti bleu","January 07, 2021","Belinda Karahalios","Jim Karahalios","PO Box 28009, Cambridge RPO Preston ON N3H 5N4","(416) 789-1555","","info@newblueontario.com","http://www.newblueontario.com","074 - Oakville",
"New Blue Party of Ontario","Nouveau parti bleu de l'Ontario","New Blue Party","Nouveau parti bleu","January 07, 2021","Belinda Karahalios","Jim Karahalios","PO Box 28009, Cambridge RPO Preston ON N3H 5N4","(416) 789-1555","","info@newblueontario.com","http://www.newblueontario.com","075 - Oakville North—Burlington",
"New Blue Party of Ontario","Nouveau parti bleu de l'Ontario","New Blue Party","Nouveau parti bleu","January 07, 2021","Belinda Karahalios","Jim Karahalios","PO Box 28009, Cambridge RPO Preston ON N3H 5N4","(416) 789-1555","","info@newblueontario.com","http://www.newblueontario.com","076 - Orléans",
"New Blue Party of Ontario","Nouveau parti bleu de l'Ontario","New Blue Party","Nouveau parti bleu","January 07, 2021","Belinda Karahalios","Jim Karahalios","PO Box 28009, Cambridge RPO Preston ON N3H 5N4","(416) 789-1555","","info@newblueontario.com","http://www.newblueontario.com","077 - Oshawa",
"New Blue Party of Ontario","Nouveau parti bleu de l'Ontario","New Blue Party","Nouveau parti bleu","January 07, 2021","Belinda Karahalios","Jim Karahalios","PO Box 28009, Cambridge RPO Preston ON N3H 5N4","(416) 789-1555","","info@newblueontario.com","http://www.newblueontario.com","078 - Ottawa Centre",
"New Blue Party of Ontario","Nouveau parti bleu de l'Ontario","New Blue Party","Nouveau parti bleu","January 07, 2021","Belinda Karahalios","Jim Karahalios","PO Box 28009, Cambridge RPO Preston ON N3H 5N4","(416) 789-1555","","info@newblueontario.com","http://www.newblueontario.com","079 - Ottawa South",
"New Blue Party of Ontario","Nouveau parti bleu de l'Ontario","New Blue Party","Nouveau parti bleu","January 07, 2021","Belinda Karahalios","Jim Karahalios","PO Box 28009, Cambridge RPO Preston ON N3H 5N4","(416) 789-1555","","info@newblueontario.com","http://www.newblueontario.com","080 - Ottawa—Vanier",
"New Blue Party of Ontario","Nouveau parti bleu de l'Ontario","New Blue Party","Nouveau parti bleu","January 07, 2021","Belinda Karahalios","Jim Karahalios","PO Box 28009, Cambridge RPO Preston ON N3H 5N4","(416) 789-1555","","info@newblueontario.com","http://www.newblueontario.com","081 - Ottawa West—Nepean",
"New Blue Party of Ontario","Nouveau parti bleu de l'Ontario","New Blue Party","Nouveau parti bleu","January 07, 2021","Belinda Karahalios","Jim Karahalios","PO Box 28009, Cambridge RPO Preston ON N3H 5N4","(416) 789-1555","","info@newblueontario.com","http://www.newblueontario.com","082 - Oxford",
"New Blue Party of Ontario","Nouveau parti bleu de l'Ontario","New Blue Party","Nouveau parti bleu","January 07, 2021","Belinda Karahalios","Jim Karahalios","PO Box 28009, Cambridge RPO Preston ON N3H 5N4","(416) 789-1555","","info@newblueontario.com","http://www.newblueontario.com","083 - Parkdale—High Park",
"New Blue Party of Ontario","Nouveau parti bleu de l'Ontario","New Blue Party","Nouveau parti bleu","January 07, 2021","Belinda Karahalios","Jim Karahalios","PO Box 28009, Cambridge RPO Preston ON N3H 5N4","(416) 789-1555","","info@newblueontario.com","http://www.newblueontario.com","084 - Parry Sound—Muskoka",
"New Blue Party of Ontario","Nouveau parti bleu de l'Ontario","New Blue Party","Nouveau parti bleu","January 07, 2021","Belinda Karahalios","Jim Karahalios","PO Box 28009, Cambridge RPO Preston ON N3H 5N4","(416) 789-1555","","info@newblueontario.com","http://www.newblueontario.com","085 - Perth—Wellington",
"New Blue Party of Ontario","Nouveau parti bleu de l'Ontario","New Blue Party","Nouveau parti bleu","January 07, 2021","Belinda Karahalios","Jim Karahalios","PO Box 28009, Cambridge RPO Preston ON N3H 5N4","(416) 789-1555","","info@newblueontario.com","http://www.newblueontario.com","086 - Peterborough—Kawartha",
"New Blue Party of Ontario","Nouveau parti bleu de l'Ontario","New Blue Party","Nouveau parti bleu","January 07, 2021","Belinda Karahalios","Jim Karahalios","PO Box 28009, Cambridge RPO Preston ON N3H 5N4","(416) 789-1555","","info@newblueontario.com","http://www.newblueontario.com","087 - Pickering—Uxbridge",
"New Blue Party of Ontario","Nouveau parti bleu de l'Ontario","New Blue Party","Nouveau parti bleu","January 07, 2021","Belinda Karahalios","Jim Karahalios","PO Box 28009, Cambridge RPO Preston ON N3H 5N4","(416) 789-1555","","info@newblueontario.com","http://www.newblueontario.com","088 - Renfrew—Nipissing—Pembroke",
"New Blue Party of Ontario","Nouveau parti bleu de l'Ontario","New Blue Party","Nouveau parti bleu","January 07, 2021","Belinda Karahalios","Jim Karahalios","PO Box 28009, Cambridge RPO Preston ON N3H 5N4","(416) 789-1555","","info@newblueontario.com","http://www.newblueontario.com","089 - Richmond Hill",
"New Blue Party of Ontario","Nouveau parti bleu de l'Ontario","New Blue Party","Nouveau parti bleu","January 07, 2021","Belinda Karahalios","Jim Karahalios","PO Box 28009, Cambridge RPO Preston ON N3H 5N4","(416) 789-1555","","info@newblueontario.com","http://www.newblueontario.com","090 - St. Catharines",
"New Blue Party of Ontario","Nouveau parti bleu de l'Ontario","New Blue Party","Nouveau parti bleu","January 07, 2021","Belinda Karahalios","Jim Karahalios","PO Box 28009, Cambridge RPO Preston ON N3H 5N4","(416) 789-1555","","info@newblueontario.com","http://www.newblueontario.com","091 - Sarnia—Lambton",
"New Blue Party of Ontario","Nouveau parti bleu de l'Ontario","New Blue Party","Nouveau parti bleu","January 07, 2021","Belinda Karahalios","Jim Karahalios","PO Box 28009, Cambridge RPO Preston ON N3H 5N4","(416) 789-1555","","info@newblueontario.com","http://www.newblueontario.com","092 - Sault Ste. Marie",
"New Blue Party of Ontario","Nouveau parti bleu de l'Ontario","New Blue Party","Nouveau parti bleu","January 07, 2021","Belinda Karahalios","Jim Karahalios","PO Box 28009, Cambridge RPO Preston ON N3H 5N4","(416) 789-1555","","info@newblueontario.com","http://www.newblueontario.com","093 - Scarborough—Agincourt",
"New Blue Party of Ontario","Nouveau parti bleu de l'Ontario","New Blue Party","Nouveau parti bleu","January 07, 2021","Belinda Karahalios","Jim Karahalios","PO Box 28009, Cambridge RPO Preston ON N3H 5N4","(416) 789-1555","","info@newblueontario.com","http://www.newblueontario.com","094 - Scarborough Centre",
"New Blue Party of Ontario","Nouveau parti bleu de l'Ontario","New Blue Party","Nouveau parti bleu","January 07, 2021","Belinda Karahalios","Jim Karahalios","PO Box 28009, Cambridge RPO Preston ON N3H 5N4","(416) 789-1555","","info@newblueontario.com","http://www.newblueontario.com","095 - Scarborough—Guildwood",
"New Blue Party of Ontario","Nouveau parti bleu de l'Ontario","New Blue Party","Nouveau parti bleu","January 07, 2021","Belinda Karahalios","Jim Karahalios","PO Box 28009, Cambridge RPO Preston ON N3H 5N4","(416) 789-1555","","info@newblueontario.com","http://www.newblueontario.com","096 - Scarborough North",
"New Blue Party of Ontario","Nouveau parti bleu de l'Ontario","New Blue Party","Nouveau parti bleu","January 07, 2021","Belinda Karahalios","Jim Karahalios","PO Box 28009, Cambridge RPO Preston ON N3H 5N4","(416) 789-1555","","info@newblueontario.com","http://www.newblueontario.com","097 - Scarborough—Rouge Park",
"New Blue Party of Ontario","Nouveau parti bleu de l'Ontario","New Blue Party","Nouveau parti bleu","January 07, 2021","Belinda Karahalios","Jim Karahalios","PO Box 28009, Cambridge RPO Preston ON N3H 5N4","(416) 789-1555","","info@newblueontario.com","http://www.newblueontario.com","098 - Scarborough Southwest",
"New Blue Party of Ontario","Nouveau parti bleu de l'Ontario","New Blue Party","Nouveau parti bleu","January 07, 2021","Belinda Karahalios","Jim Karahalios","PO Box 28009, Cambridge RPO Preston ON N3H 5N4","(416) 789-1555","","info@newblueontario.com","http://www.newblueontario.com","099 - Simcoe—Grey",
"New Blue Party of Ontario","Nouveau parti bleu de l'Ontario","New Blue Party","Nouveau parti bleu","January 07, 2021","Belinda Karahalios","Jim Karahalios","PO Box 28009, Cambridge RPO Preston ON N3H 5N4","(416) 789-1555","","info@newblueontario.com","http://www.newblueontario.com","100 - Simcoe North",
"New Blue Party of Ontario","Nouveau parti bleu de l'Ontario","New Blue Party","Nouveau parti bleu","January 07, 2021","Belinda Karahalios","Jim Karahalios","PO Box 28009, Cambridge RPO Preston ON N3H 5N4","(416) 789-1555","","info@newblueontario.com","http://www.newblueontario.com","101 - Spadina—Fort York",
"New Blue Party of Ontario","Nouveau parti bleu de l'Ontario","New Blue Party","Nouveau parti bleu","January 07, 2021","Belinda Karahalios","Jim Karahalios","PO Box 28009, Cambridge RPO Preston ON N3H 5N4","(416) 789-1555","","info@newblueontario.com","http://www.newblueontario.com","102 - Stormont—Dundas—South Glengarry",
"New Blue Party of Ontario","Nouveau parti bleu de l'Ontario","New Blue Party","Nouveau parti bleu","January 07, 2021","Belinda Karahalios","Jim Karahalios","PO Box 28009, Cambridge RPO Preston ON N3H 5N4","(416) 789-1555","","info@newblueontario.com","http://www.newblueontario.com","103 - Sudbury",
"New Blue Party of Ontario","Nouveau parti bleu de l'Ontario","New Blue Party","Nouveau parti bleu","January 07, 2021","Belinda Karahalios","Jim Karahalios","PO Box 28009, Cambridge RPO Preston ON N3H 5N4","(416) 789-1555","","info@newblueontario.com","http://www.newblueontario.com","104 - Thornhill",
"New Blue Party of Ontario","Nouveau parti bleu de l'Ontario","New Blue Party","Nouveau parti bleu","January 07, 2021","Belinda Karahalios","Jim Karahalios","PO Box 28009, Cambridge RPO Preston ON N3H 5N4","(416) 789-1555","","info@newblueontario.com","http://www.newblueontario.com","105 - Thunder Bay—Atikokan",
"New Blue Party of Ontario","Nouveau parti bleu de l'Ontario","New Blue Party","Nouveau parti bleu","January 07, 2021","Belinda Karahalios","Jim Karahalios","PO Box 28009, Cambridge RPO Preston ON N3H 5N4","(416) 789-1555","","info@newblueontario.com","http://www.newblueontario.com","106 - Thunder Bay—Superior North",
"New Blue Party of Ontario","Nouveau parti bleu de l'Ontario","New Blue Party","Nouveau parti bleu","January 07, 2021","Belinda Karahalios","Jim Karahalios","PO Box 28009, Cambridge RPO Preston ON N3H 5N4","(416) 789-1555","","info@newblueontario.com","http://www.newblueontario.com","107 - Timiskaming—Cochrane",
"New Blue Party of Ontario","Nouveau parti bleu de l'Ontario","New Blue Party","Nouveau parti bleu","January 07, 2021","Belinda Karahalios","Jim Karahalios","PO Box 28009, Cambridge RPO Preston ON N3H 5N4","(416) 789-1555","","info@newblueontario.com","http://www.newblueontario.com","108 - Timmins",
"New Blue Party of Ontario","Nouveau parti bleu de l'Ontario","New Blue Party","Nouveau parti bleu","January 07, 2021","Belinda Karahalios","Jim Karahalios","PO Box 28009, Cambridge RPO Preston ON N3H 5N4","(416) 789-1555","","info@newblueontario.com","http://www.newblueontario.com","109 - Toronto Centre",
"New Blue Party of Ontario","Nouveau parti bleu de l'Ontario","New Blue Party","Nouveau parti bleu","January 07, 2021","Belinda Karahalios","Jim Karahalios","PO Box 28009, Cambridge RPO Preston ON N3H 5N4","(416) 789-1555","","info@newblueontario.com","http://www.newblueontario.com","110 - Toronto—Danforth",
"New Blue Party of Ontario","Nouveau parti bleu de l'Ontario","New Blue Party","Nouveau parti bleu","January 07, 2021","Belinda Karahalios","Jim Karahalios","PO Box 28009, Cambridge RPO Preston ON N3H 5N4","(416) 789-1555","","info@newblueontario.com","http://www.newblueontario.com","111 - Toronto—St. Paul's",
"New Blue Party of Ontario","Nouveau parti bleu de l'Ontario","New Blue Party","Nouveau parti bleu","January 07, 2021","Belinda Karahalios","Jim Karahalios","PO Box 28009, Cambridge RPO Preston ON N3H 5N4","(416) 789-1555","","info@newblueontario.com","http://www.newblueontario.com","112 - University—Rosedale",
"New Blue Party of Ontario","Nouveau parti bleu de l'Ontario","New Blue Party","Nouveau parti bleu","January 07, 2021","Belinda Karahalios","Jim Karahalios","PO Box 28009, Cambridge RPO Preston ON N3H 5N4","(416) 789-1555","","info@newblueontario.com","http://www.newblueontario.com","113 - Vaughan—Woodbridge",
"New Blue Party of Ontario","Nouveau parti bleu de l'Ontario","New Blue Party","Nouveau parti bleu","January 07, 2021","Belinda Karahalios","Jim Karahalios","PO Box 28009, Cambridge RPO Preston ON N3H 5N4","(416) 789-1555","","info@newblueontario.com","http://www.newblueontario.com","114 - Waterloo",
"New Blue Party of Ontario","Nouveau parti bleu de l'Ontario","New Blue Party","Nouveau parti bleu","January 07, 2021","Belinda Karahalios","Jim Karahalios","PO Box 28009, Cambridge RPO Preston ON N3H 5N4","(416) 789-1555","","info@newblueontario.com","http://www.newblueontario.com","115 - Wellington—Halton Hills",
"New Blue Party of Ontario","Nouveau parti bleu de l'Ontario","New Blue Party","Nouveau parti bleu","January 07, 2021","Belinda Karahalios","Jim Karahalios","PO Box 28009, Cambridge RPO Preston ON N3H 5N4","(416) 789-1555","","info@newblueontario.com","http://www.newblueontario.com","116 - Whitby",
"New Blue Party of Ontario","Nouveau parti bleu de l'Ontario","New Blue Party","Nouveau parti bleu","January 07, 2021","Belinda Karahalios","Jim Karahalios","PO Box 28009, Cambridge RPO Preston ON N3H 5N4","(416) 789-1555","","info@newblueontario.com","http://www.newblueontario.com","117 - Willowdale",
"New Blue Party of Ontario","Nouveau parti bleu de l'Ontario","New Blue Party","Nouveau parti bleu","January 07, 2021","Belinda Karahalios","Jim Karahalios","PO Box 28009, Cambridge RPO Preston ON N3H 5N4","(416) 789-1555","","info@newblueontario.com","http://www.newblueontario.com","118 - Windsor—Tecumseh",
"New Blue Party of Ontario","Nouveau parti bleu de l'Ontario","New Blue Party","Nouveau parti bleu","January 07, 2021","Belinda Karahalios","Jim Karahalios","PO Box 28009, Cambridge RPO Preston ON N3H 5N4","(416) 789-1555","","info@newblueontario.com","http://www.newblueontario.com","119 - Windsor West",
"New Blue Party of Ontario","Nouveau parti bleu de l'Ontario","New Blue Party","Nouveau parti bleu","January 07, 2021","Belinda Karahalios","Jim Karahalios","PO Box 28009, Cambridge RPO Preston ON N3H 5N4","(416) 789-1555","","info@newblueontario.com","http://www.newblueontario.com","120 - York Centre",
"New Blue Party of Ontario","Nouveau parti bleu de l'Ontario","New Blue Party","Nouveau parti bleu","January 07, 2021","Belinda Karahalios","Jim Karahalios","PO Box 28009, Cambridge RPO Preston ON N3H 5N4","(416) 789-1555","","info@newblueontario.com","http://www.newblueontario.com","121 - York—Simcoe",
"New Blue Party of Ontario","Nouveau parti bleu de l'Ontario","New Blue Party","Nouveau parti bleu","January 07, 2021","Belinda Karahalios","Jim Karahalios","PO Box 28009, Cambridge RPO Preston ON N3H 5N4","(416) 789-1555","","info@newblueontario.com","http://www.newblueontario.com","122 - York South—Weston",
"New Blue Party of Ontario","Nouveau parti bleu de l'Ontario","New Blue Party","Nouveau parti bleu","January 07, 2021","Belinda Karahalios","Jim Karahalios","PO Box 28009, Cambridge RPO Preston ON N3H 5N4","(416) 789-1555","","info@newblueontario.com","http://www.newblueontario.com","123 - Kiiwetinoong",
"New Blue Party of Ontario","Nouveau parti bleu de l'Ontario","New Blue Party","Nouveau parti bleu","January 07, 2021","Belinda Karahalios","Jim Karahalios","PO Box 28009, Cambridge RPO Preston ON N3H 5N4","(416) 789-1555","","info@newblueontario.com","http://www.newblueontario.com","124 - Mushkegowuk—James Bay",
"New Democratic Party of Ontario","Nouveau Parti Démocratique de l'Ontario","Ontario NDP/NPD","Ontario NDP/NPD","February 13, 1975","Janelle Brady","Marit Stiles","201-2069 LAKE SHORE BLVD W Toronto ON M8V 3Z4","(416) 591-8637","","info@ontariondp.ca","http://www.ontariondp.ca","001 - Ajax",
"New Democratic Party of Ontario","Nouveau Parti Démocratique de l'Ontario","Ontario NDP/NPD","Ontario NDP/NPD","February 13, 1975","Janelle Brady","Marit Stiles","201-2069 LAKE SHORE BLVD W Toronto ON M8V 3Z4","(416) 591-8637","","info@ontariondp.ca","http://www.ontariondp.ca","002 - Algoma—Manitoulin",
"New Democratic Party of Ontario","Nouveau Parti Démocratique de l'Ontario","Ontario NDP/NPD","Ontario NDP/NPD","February 13, 1975","Janelle Brady","Marit Stiles","201-2069 LAKE SHORE BLVD W Toronto ON M8V 3Z4","(416) 591-8637","","info@ontariondp.ca","http://www.ontariondp.ca","003 - Aurora—Oak Ridges—Richmond Hill",
"New Democratic Party of Ontario","Nouveau Parti Démocratique de l'Ontario","Ontario NDP/NPD","Ontario NDP/NPD","February 13, 1975","Janelle Brady","Marit Stiles","201-2069 LAKE SHORE BLVD W Toronto ON M8V 3Z4","(416) 591-8637","","info@ontariondp.ca","http://www.ontariondp.ca","004 - Barrie—Innisfil",
"New Democratic Party of Ontario","Nouveau Parti Démocratique de l'Ontario","Ontario NDP/NPD","Ontario NDP/NPD","February 13, 1975","Janelle Brady","Marit Stiles","201-2069 LAKE SHORE BLVD W Toronto ON M8V 3Z4","(416) 591-8637","","info@ontariondp.ca","http://www.ontariondp.ca","005 - Barrie—Springwater—Oro-Medonte",
"New Democratic Party of Ontario","Nouveau Parti Démocratique de l'Ontario","Ontario NDP/NPD","Ontario NDP/NPD","February 13, 1975","Janelle Brady","Marit Stiles","201-2069 LAKE SHORE BLVD W Toronto ON M8V 3Z4","(416) 591-8637","","info@ontariondp.ca","http://www.ontariondp.ca","006 - Bay of Quinte",
"New Democratic Party of Ontario","Nouveau Parti Démocratique de l'Ontario","Ontario NDP/NPD","Ontario NDP/NPD","February 13, 1975","Janelle Brady","Marit Stiles","201-2069 LAKE SHORE BLVD W Toronto ON M8V 3Z4","(416) 591-8637","","info@ontariondp.ca","http://www.ontariondp.ca","007 - Beaches—East York",
"New Democratic Party of Ontario","Nouveau Parti Démocratique de l'Ontario","Ontario NDP/NPD","Ontario NDP/NPD","February 13, 1975","Janelle Brady","Marit Stiles","201-2069 LAKE SHORE BLVD W Toronto ON M8V 3Z4","(416) 591-8637","","info@ontariondp.ca","http://www.ontariondp.ca","008 - Brampton Centre",
"New Democratic Party of Ontario","Nouveau Parti Démocratique de l'Ontario","Ontario NDP/NPD","Ontario NDP/NPD","February 13, 1975","Janelle Brady","Marit Stiles","201-2069 LAKE SHORE BLVD W Toronto ON M8V 3Z4","(416) 591-8637","","info@ontariondp.ca","http://www.ontariondp.ca","009 - Brampton East",
"New Democratic Party of Ontario","Nouveau Parti Démocratique de l'Ontario","Ontario NDP/NPD","Ontario NDP/NPD","February 13, 1975","Janelle Brady","Marit Stiles","201-2069 LAKE SHORE BLVD W Toronto ON M8V 3Z4","(416) 591-8637","","info@ontariondp.ca","http://www.ontariondp.ca","010 - Brampton North",
"New Democratic Party of Ontario","Nouveau Parti Démocratique de l'Ontario","Ontario NDP/NPD","Ontario NDP/NPD","February 13, 1975","Janelle Brady","Marit Stiles","201-2069 LAKE SHORE BLVD W Toronto ON M8V 3Z4","(416) 591-8637","","info@ontariondp.ca","http://www.ontariondp.ca","011 - Brampton South",
"New Democratic Party of Ontario","Nouveau Parti Démocratique de l'Ontario","Ontario NDP/NPD","Ontario NDP/NPD","February 13, 1975","Janelle Brady","Marit Stiles","201-2069 LAKE SHORE BLVD W Toronto ON M8V 3Z4","(416) 591-8637","","info@ontariondp.ca","http://www.ontariondp.ca","012 - Brampton West",
"New Democratic Party of Ontario","Nouveau Parti Démocratique de l'Ontario","Ontario NDP/NPD","Ontario NDP/NPD","February 13, 1975","Janelle Brady","Marit Stiles","201-2069 LAKE SHORE BLVD W Toronto ON M8V 3Z4","(416) 591-8637","","info@ontariondp.ca","http://www.ontariondp.ca","013 - Brantford—Brant",
"New Democratic Party of Ontario","Nouveau Parti Démocratique de l'Ontario","Ontario NDP/NPD","Ontario NDP/NPD","February 13, 1975","Janelle Brady","Marit Stiles","201-2069 LAKE SHORE BLVD W Toronto ON M8V 3Z4","(416) 591-8637","","info@ontariondp.ca","http://www.ontariondp.ca","014 - Bruce—Grey—Owen Sound",
